ans_id,ans_voteup,ans_thanks,ans_collection,ans_comment,que_id,que_activities,author_id,author_collected,author_follower,author_following,author_thanked,author_voteup,author_activities
140877734,36,9,24,5,54425022,17,f96fe02eda4f1dd5aa5b659c72d326bd,123168,48626,322,36326,127507,153
158206111,34,9,19,23,20197709,53,9b5a00092f2a198292e8cc3a4faae542,1673,1719,157,682,2885,93
95429558,33,4,7,6,42887126,26,93a3349c05e56044e7657ceda8718cf2,12687,11553,102,5636,20663,15
28623329,33,18,16,15,21317756,13,c596820f76c5c5fc6017c67f67739c86,22,232,84,19,39,3
166719011,33,3,2,20,59464081,10,0b21747b1fec79ad8af7e68a2b1ff681,44638,101972,92,42193,308188,234
14306059,32,7,16,6,20197709,53,5a15837c7177d0f06c9ac33a4a265644,3938,55448,1106,1466,4394,10
73760795,31,5,26,26,37792432,37,779f7b42f6798a512678c177c0290084,226322,130268,99,71127,276130,190
37324035,30,1,1,5,27609802,17,b6dc31780c139db2b02b32692f73b239,9171,5496,496,5664,35773,257
122511888,29,12,21,7,50742400,34,1f94d875ee2e918f0dccc93d625b71c2,172,413,74,120,540,3
55976177,28,8,5,16,32271883,47,d98b2383655116690e713fbfcc49c62c,16048,26406,162,8115,44638,64
76642008,28,6,1,1,31169617,15,78cf1afcd4d3029027bbf3faccc07dc7,24,25,15,17,94,18
69919246,29,10,17,11,20210846,10,7f0782fabfe4dfa1396f15583b66a111,177,385,18,76,300,0
155072376,28,8,46,2,57456575,10,1dd873341ce83f6140d9e2794aa7f75c,236,138,150,64,263,543
164190631,27,3,3,3,59319528,20,25e8b3407900bc7a1003b77604f05fc1,1759,4759,129,1006,2546,17
135026609,27,9,4,4,52740496,32,036d92822731b3e38af5eee15f03f824,128,61,11,35,100,1
43255064,26,6,0,10,29048520,28,246e6cf44e94cefbf4b959cb5042bc91,4800,155187,673,1681,21029,80
26201777,26,12,32,5,23909308,12,2d67417a9916c802fc1440dc949b336b,224,667,72,98,219,0
155504812,26,7,20,0,58056204,10,fc41432b139de2e476646bd21e4f6b3b,39153,3728,116,9148,25584,20
131028040,26,4,1,7,52531244,37,f782d055636a2b890b7a35035217e0de,76,56,33,219,1404,5
102492280,25,12,20,14,42090397,11,282a3ebac279015805bc7d0749038dcf,2480,1256,652,1394,5213,24
160493843,25,0,1,4,58802415,13,8826bca9cfb4efe6a7497de20ddd5237,840,174,27,137,438,19
38336770,25,8,13,11,22195254,27,38080bce1a7b04a9c15aea3704c84a1c,55,16,22,31,57,12
141503104,24,7,35,3,24506695,20,8baab2164ff8bca575996e1fcc55e1a9,8805,7051,14,406,4829,21
151436992,26,3,6,0,57052990,40,0c021c8fa37208eced28a548689fc647,1179,1235,140,1069,5948,16
140608463,24,7,34,5,54425022,17,15553e92575d2b04da165888e5f8e075,38366,65936,50,15737,74436,43
73642845,23,5,10,1,37792432,37,5ccdd352ef239cb8799f24d96fcfa1a2,1501,2587,705,1072,3951,0
43243323,22,0,0,1,29073750,18,1467ff02dc0549a19930ccec4c13f85c,58,38,217,115,784,20
161399790,22,3,1,18,59026879,43,0d89357c30bde2923810fd817491e923,18985,9683,213,18221,103141,217
83231174,20,3,22,25,39375325,30,4577285d88ab40c9868db9f0fcb5d800,40,168,91,19,36,0
139403940,20,2,2,9,54425022,17,c67d30567c1ebd6c36ca4352d2c716df,57371,41003,0,35796,191527,5
141695395,20,1,0,1,52712742,16,023168605414b37bb83aa96a5bc05205,38130,69520,105,7386,24191,15
134619991,19,1,0,5,53306075,12,779f7b42f6798a512678c177c0290084,226322,130268,99,71127,276130,190
106739273,19,5,9,20,47045674,19,be600dcd5c455d94d68669466d50068a,1099,1218,42,305,3220,27
40558153,18,17,11,3,21317756,13,c75943c09a624b79abfad03da726c023,33,57,3,21,22,0
161036239,18,1,0,17,59026879,43,4c61b74646e71e02c3559522305ccf83,3360,2104,101,5494,32892,65
151467046,26,3,7,1,57052990,40,1c77bcf9e9915547d40d8f42990dc3bc,3322,2197,85,537,2947,119
150212625,17,0,6,1,56691747,36,0c021c8fa37208eced28a548689fc647,1179,1235,140,1069,5948,16
141995576,18,8,23,17,54857138,10,f7e83a2a68f62df50433057caefe39f0,31,29,0,8,20,0
133930353,18,7,0,19,51890140,30,61643b71597d9004f007a22f254d0b35,34324,20699,9,14629,51105,72
142760783,18,4,12,4,54853112,32,b1dcab3878a3c1ea8748678e62f246c9,5563,3495,1277,3910,22710,110
141360841,17,2,1,5,54680317,26,15553e92575d2b04da165888e5f8e075,38366,65936,50,15737,74436,43
122967507,17,2,18,3,50742400,34,779f7b42f6798a512678c177c0290084,226322,130268,99,71127,276130,190
77155521,16,1,0,3,38537425,12,9c8961377fbe732a88db1e46b9ba62be,79,91,73,146,569,5
128188073,16,4,20,3,51817797,11,460fe32eeaef21b2e3d0c34617c4c421,76,95,16,17,50,0
77074721,14,2,5,18,21802548,43,2f40bfed9afdf066658336dbe515756e,1105,475,62,521,1284,10
26239625,15,9,18,6,23954186,12,2d67417a9916c802fc1440dc949b336b,224,667,72,98,219,0
158938623,20,4,0,7,58778536,81,2ba1846d43b70e5f8ad7118ab453e8be,18,23,50,4,49,17
81123228,14,1,0,12,39241682,19,5b27a66946911808a1ad13f4d2b128e8,0,1,20,1,14,0
92288761,14,12,7,3,35982249,12,eebc2a92b813f2801d7100d3fde3e5e6,1385,2008,46,1848,7341,14
154040182,14,0,4,2,57676697,13,e67902dd504c0561ae1899a65d0cf3bf,2852,3312,29,345,8686,39
151425994,30,6,8,0,57052990,40,246e6cf44e94cefbf4b959cb5042bc91,4800,155187,673,1681,21029,80
148044058,14,1,3,3,56192655,45,741bd8c4179cb3466dfb8fc2a4a99b43,37,49,129,35,165,39
141913489,14,7,16,2,54862155,14,bfd19305cc6c1a5b0a24221180ccba6e,19,62,103,7,15,11
142478174,14,3,5,11,54857314,10,fd3fe6d56db45a9194af9609c7fa767c,124,480,88,51,158,0
110586366,14,6,6,14,48372368,10,710b0f1edcb1ac35ab7dbe9ea8ee58c7,2001,866,167,2313,16312,5
104092196,14,5,1,4,47045674,19,bd1084158689bde3c3bdb6592b3d7b2f,2502,3252,71,914,3298,8
88849397,13,5,5,21,39375325,30,99932fca5736bcc9cbd527fa25d2e9a3,420,766,3,131,334,0
19411864,12,4,11,6,21813576,14,671426b40d875bbb019028f7eb9db1a3,6317,51706,135,3457,13225,19
70921783,12,8,9,1,36884389,16,02ea23daedc6ebef0c2d5b1a63bf7f1b,2951,355,58,771,2245,10
150099051,11,1,1,3,56691747,36,1c77bcf9e9915547d40d8f42990dc3bc,3322,2197,85,537,2947,119
77196251,10,2,2,3,38570005,19,7838a86fe9750a53d55253759bc60966,1633,738,27,226,544,0
76946379,10,0,0,5,38537425,12,a9a0aae459009f229066c4ef50c5a5e8,14,0,8,12,56,3
60061773,10,2,0,0,34843901,15,d6f6514b932ffe30f97e50dd578c8a2c,9160,9627,1,15371,90345,63
50874554,10,0,0,1,31169617,15,af4da2149bda9c977a8513b9f0ef1db6,1106,45,237,161,825,37
46811419,10,3,7,3,29167670,14,779f7b42f6798a512678c177c0290084,226323,130268,99,71127,276130,190
162194847,10,4,0,28,59137223,13,18e124fe75e59d743ef8e6b578079536,29791,31463,595,35035,211548,440
157709139,10,6,7,1,58056204,10,90e8c702d65e65ccfa7dafd4779dffdf,96,171,0,54,204,18
154304769,10,3,4,1,54853112,32,3b4d3e7cf74647745c118330f0cc0300,13009,5663,46,8685,37040,21
